location	additional_notes
AK	None
AL	Hospital admissions only model was run due to either issues with input data or model
AR	Hospital admissions only model was run due to either issues with input data or model
AZ	None
CA	None
CO	None
CT	None
DC	None
DE	None
FL	None
GA	Hospital admissions only model was run due to either issues with input data or model
HI	None
IA	None
ID	None
IL	None
IN	None
KS	None
KY	None
LA	None
MA	None
MD	Hospital admissions only model was run due to either issues with input data or model
ME	None
MI	None
MN	None
MO	None
MS	None
MT	None
NC	None
ND	None
NE	None
NH	None
NJ	Hospital admissions only model was run due to either issues with input data or model
NM	None
NV	None
NY	Hospital admissions only model was run due to either issues with input data or model
OH	None
OK	None
OR	None
PA	None
PR	None
RI	None
SC	Hospital admissions only model was run due to either issues with input data or model
SD	None
TN	None
TX	No forecast was submitted due to either issues with input data or model
UT	None
VA	None
VT	None
WA	None
WI	None
WV	Hospital admissions only model was run due to either issues with input data or model
WY	None
